id,text,word_count
1,"Pilates Essentials Principles & RepertoireContemporary Pilates ©art of motion training in movementcontemporary movement education Congratulations, you have decided to give your own training and the training of your participants a new dimension! The Contemporary Pilates Method is a holistic, modern movement system that considers the body and the mind as a union. Specific exercises a nd sequencing enhance physical, mental and energetic balance, optimize posture and allow for new, more beneficial mov ement patterns. An aligned body has much more natural grace and ease, greatly promoting and incr easing general wellbeing . There is an inner strength that is felt, but it is also noticeable to those around you . The beautiful thing with Contemporary Pilates is that the training is suitable for people of all ages and skill levels; it benefits a dancer or an athlete as much as a complete beginner . Joseph Hubertus Pilates, the founder of the Method, believed strongly t hat fitness is much more than develop ing and maintain ing a perfect muscular physique and improving ones endurance and performance ability. He knew that a strong, healthy body is unison of body, mind and spirit. It has been known for a long time that our thoughts and feelings greatly influence our physical wellbeing and vice versa, our physical wellbeing affects our emotional balance and th e way we think. Have you noticed that you feel more attractive and fitter when you are in good spirits? I am sure you did and so have we! The Contemporary Pilates M ethod is more than healthy body conditioning, it is a training that energises the body, vitalizes the mind, creates space and freedom of movement, and last but not least stretches boundaries and enlivens slumbering potential. art of motion training in movement ® wishes you an inspiring time! Page 2 / 215 ®Copyright Material Contempor ary Pilates THANK YOU! A very big thank you to all art of motion lecturers, back office people, editors, designers and contributors for your valuable input, loyalty and on -going support! PICTURE REFERENCES Human Anatomy & Physiology, by Elaine N. Marieb – ISBN: 0 -8053- 9591-1 Anatomischer Atlas des Menschen, Johannes Petrus Schadé - ISBN-13: 978- 3437461408 Manual of Structural Kinesiology, Clem W. Thompson und R.T. Floyd – ISBN-13: 978- 0195052060 Anatomy of Bewegung, Blandine Calais -Germain – ISBN-13: 978- 0939616572 Das Muskelbuch, K. -P. Valerius, A. Frank, Bernard C. Kolster - ISBN-13: 978- 3830452546 Woman’ s Strength Training Anatomy, Frédéric Delavier Gesunder Rücken, Dr. John Tanner - ISBN-13: 978- 3831005406 Entspannungstraining, Douglas A. Bernstein und Thomas D.",426
2,"ISBN-13: 978- 0195052060 Anatomy of Bewegung, Blandine Calais -Germain – ISBN-13: 978- 0939616572 Das Muskelbuch, K. -P. Valerius, A. Frank, Bernard C. Kolster - ISBN-13: 978- 3830452546 Woman’ s Strength Training Anatomy, Frédéric Delavier Gesunder Rücken, Dr. John Tanner - ISBN-13: 978- 3831005406 Entspannungstraining, Douglas A. Bernstein und Thomas D. Borkovec - ISBN-13: 978- 3608890563 Maintaining Body Balance, Flexibility and Stability, Leon Chaitrow - ISBN-13: 978- 0443073519 Diverse Literatur von Eric Franklin Prometheus - Allgemeine Anatomie und Bewegungssystem, Michael Schünke, Erik Schulte, Udo Schumacher - ISBN-13: 978- 3131395214 Muscles, Testing and Function with Posture and Pain, Flor ence Peterson Kendall – ISBN-13: 978-0- 7817- 4780-6 Topographie und Function des Bewegungssystems, Michael Schünke, Thieme- Verlag, 2000 Superbody mit Pilates, Christin Kuhnert, GU -Verlag, 2000 Ultimate Pilates, Achieve the perfect body shape, Dreas Reyneke – ISBN 1 -56170- 986-7 INTELLECTUAL PROPERTY art of motion ® 1. Edition 2005- 03 19. Edition 2013-03 Author: Karin Gurtner Text Editing: Toni -Louise Gianatti Photography : Felix Peter, Fotogigant - www.fotogigant.ch Design Cover Page & Photo Editing: Babuche Gruber, TanzArt – www.tanzart -bern.ch The course manual is protected by copyright. The use of all materials, extracts included, are subject to art of motion training in movement. Thank you for your respect! PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 3 / 215 TABLE OF CONTENT S EDUCATIONAL CONTENT ................................ ................................ ................................ ........... 6 APPLIED TERMINOLOGY ................................ ................................ ................................ ............ 8 CUEING TERMINOLOGY ............................................................................................................................. 8 IMAGINARY INSTRUCTIONS ....................................................................................................................... 9 TERMINOLOGY RELATING TO EXERCISE VARIATIONS ................................................................................. 9 EXTEROCEPTION & PROPRIOCEPTION ...................................................................................................... 10 LOCATION DESCRIPTIONS ....................................................................................................................... 11 CLOSED , SUDO -CLOSED & OPEN CHAIN ................................................................................................... 12 THE PILATES METHOD ................................ ................................ ................................ ............. 13 YESTERDAY & TODAY ................................ ................................ ................................ .............. 15 art of motion CONTEMPORARY PILATES ................................ ................................ ................. 16 FUNCTIONAL ANATOMY & TERMINOLOGY ................................ ................................ .............. 18 JOINT MOVEMENT .................................................................................................................................. 19 LOCATIONS & DIRECTIONS ..................................................................................................................... 20 PLANES OF MOVEMENT & AXES OF ROTATION .......................................................................................... 21 THE SKELETAL SYSTEM ........................................................................................................................... 23 THE MAJOR FUNCTIONS OF THE SKELETON .............................................................................................. 23 BONE CLASSIFICATION ........................................................................................................................... 23 THE SPINE .............................................................................................................................................. 25 MOVEMENT OF THE SPINE ....................................................................................................................... 27 AXIAL ELONGATION ................................................................................................................................ 28 THE MUSCLES ......................................................................................................................................... 29 THE 9 KEY ELEMENTS ................................ ................................ ................................ ............... 30 CONCENTRAT ION & AWARENESS .......................................................................................................... 31 BREATHING ......................................................................................................................................... 32 CENTRING ........................................................................................................................................... 35 CLEAR INTENTION ............................................................................................................................... 38 CONTROL & PRESICION ........................................................................................................................ 38 FLOW .................................................................................................................................................. 39 DIFFERENTIATION ............................................................................................................................... 39 CONTINUITY ........................................................................................................................................ 40 INTEGRATION ...................................................................................................................................... 40 THE MECHANICAL PILATES PRINCIPLES ................................ ................................ ................ 41 PILATES ESSENTIALS RELEVANT MUSCULATURE ................................ ................................ ... 44 ABDOMINALS .......................................................................................................................................... 44 PELVIC & SPINE POSITIONS ................................ ................................ ................................ ... 49 NEUT RAL LUMBAR -PELVIC POSITION ....................................................................................................... 49 LUMBAR -PEVIC POSITIONS IN SUPINE ..................................................................................................... 50 NEUTRAL & ELONGATED LUMBAR POSITION ............................................................................................. 51 NEUTRAL POSITION • ELONGATED LUMBAR POSITION • SEGMENTAL MOVEMENT ...................................... 51 Page 4 / 215 ®Copyright Material Contempor ary Pilates PRINCIPLES OF CORE STABILIZATION TRAINING ................................................................ . 54 OPTIMAL BODY POSITION DURING TRAINING ...................................................................... 55 OPTIMAL STANDING BODY POSITION & INSTRUCTIONS ............................................................................ 55 OPTIMAL BODY POSITIONS & INSTRUCTIONS ........................................................................................... 57 THE PELVIS & PELVIC FLOOR ..................................................................................................",499
3,"• SEGMENTAL MOVEMENT ...................................... 51 Page 4 / 215 ®Copyright Material Contempor ary Pilates PRINCIPLES OF CORE STABILIZATION TRAINING ................................................................ . 54 OPTIMAL BODY POSITION DURING TRAINING ...................................................................... 55 OPTIMAL STANDING BODY POSITION & INSTRUCTIONS ............................................................................ 55 OPTIMAL BODY POSITIONS & INSTRUCTIONS ........................................................................................... 57 THE PELVIS & PELVIC FLOOR .................................................................................................. 59 THE PELVIS ............................................................................................................................................. 59 PELVIC POSITIONS .................................................................................................................................. 60 THE PELVIC FLOOR .................................................................................................................................. 61 THE SHOULDERS ...................................................................................................................... 63 THE SHOULDER GIRLDE ........................................................................................................................... 63 SHOULDER JOINT / GLENOHUMERAL JOINT .............................................................................................. 64 FLEXIBILITY ............................................................................................................................ 67 DISCOMFORT & PAIN .............................................................................................................. 69 IMBALANCES & TRAINING ...................................................................................................... 70 TEACHING METHODOLGY & DIDACTICS ................................................................................. 71 TEACHING PILATES ................................................................................................................................. 71 WARM UP ............................................................................................................................................... 72 BREATHING INTEGRATION ....................................................................................................................... 73 FLOOR EXERCISES ................................................................................................................................... 73 LESSON PLANNING .................................................................................................................................. 74 COMMUNICATION & TEACHING ................................................................................................................ 75 SCOPE OF PRACTICE & YOUR OWN WELLBEING ........................................................................................ 78 MY PILATES ESSENTIALS BODY MAINTENANCE PROGRAM ......................................................................... 78 THE PILATES ESSENTIALS REPERTOIRE ................................................................................. 82 STANDING ............................................................................................................................... 83 ROLL DOWN ......................................................................................................................................... 83 ARM SERIES: BALLERINA ARMS & ARM CIRCLE ....................................................................................... 87 TIC TOC ............................................................................................................................................... 91 BOW & ARROW .................................................................................................................................... 95 FOOTWORK ......................................................................................................................................... 99 KNEE LIFT & AEROPLANE .................................................................................................................... 103 4-POINT KNEELING ............................................................................................................... 107 ARM & LEG LIFT ................................................................................................................................. 107 MOVING PUSH UP ............................................................................................................................... 111 THREAD THE NEEDLE ......................................................................................................................... 114 Kneeling ................................................................................................................................ . 117 SHOULDER SEPARATION ..................................................................................................................... 117 PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 5 / 215 SITTING POSITIONS ................................ ................................ ................................ .............. 120 SITTIN G ................................ ................................ ................................ ................................ . 121 SPINE TWIST ...................................................................................................................................... 121 BASIC ROLL UP ................................................................................................................................... 124 ROLL UP ............................................................................................................................................. 127 ROWING I .......................................................................................................................................... 131 ROLLING LIKE A BALL .......................................................................................................................... 134 REST POSITIONS ................................................................................................................................ 137 HAND, ARM, LEG & FOOT POSITIONS ................................ ................................ .................... 138 HAND & ARM POSITION IN SUPINE ......................................................................................................... 138 LEG POSITIONS IN SUPINE ..................................................................................................................... 139 FOOT & FEMUR POSITIONS .................................................................................................................... 140 SUPINE ................................ ................................ ................................ Error! Bookmark not defined. LEG FLOAT ......................................................................................................................................... 141 ARM FLOAT ........................................................................................................................................ 145 DEAD BUG .......................................................................................................................................... 148 PELVIC CURL ...................................................................................................................................... 151 CURL UP ............................................................................................................................................. 157 HUNDRED ........................................................................................................................................... 161 SIDE TO SIDE ..................................................................................................................................... 164 SINGLE LEG STRETCH ......................................................................................................................... 167 CRISSCROSS ....................................................................................................................................... 170 DOUBLE LEG STRETCH ........................................................................................................................ 173 SINGLE LEG CIRCLE ............................................................................................................................ 175 GRAND BATTEMENT ............................................................................................................................ 179 SCISSORS ........................................................................................................................................... 181 ARM - AND UPPER BODY POSITIONS ................................ ................................ ..................... 184 SIDE LYING ................................ ................................ ................................ ............................ 185 LEG LIFT SERIES ................................................................................................................................. 185 BALANCE ............................................................................................................................................ 188 HOT POTATO ...................................................................................................................................... 191 HIP CIRCLES ....................................................................................................................................... 193 CLAM ................................................................................................................................................. 195 LEG EXTENSION .................................................................................................................................. 199 PRONE ................................ ................................ ................................ ................................ .... 201 BODY TENSION ................................................................................................................................... 201 DART ................................................................................................................................................. 205 ALTERNATE ARM & LEG LIFT ............................................................................................................... 207 SWIMMING ......................................................................................................................................... 209 BREAST STROKE ................................................................................................................................. 212 Page 6 / 215 ®Copyright Material Contempor ary Pilates EDUCATIONAL CONTENT „In 10 sessions you'll feel the difference, in 20 sessions you'll see the difference, and in 30 sessions you'll have a different body “. Joseph Hubertus Pilates Some main topics we will thoroughly discuss during the Pilates Essentials education are functiona l movement anatomy, as well as the philosophical and mechanical principles of the Pilates Method. We will also look at didactics and teaching methodology in detail.",498
4,"sessions you'll have a different body “. Joseph Hubertus Pilates Some main topics we will thoroughly discuss during the Pilates Essentials education are functiona l movement anatomy, as well as the philosophical and mechanical principles of the Pilates Method. We will also look at didactics and teaching methodology in detail. The practical component, which takes up the largest portion of the course, revolves around the Pilates Essentials repertoire. The repertoire is very rich and we will spend a substantial amount of time practicing exercises at various levels, incorporating specific breathing patterns. The information gained in the theoretical part will be woven in to the practical components and in return the exercise will be linked to the theory to provide uninterrupted information flow. Our goal is to give you a deep insight into the finesse of each exercise so you can eventually execute and teach with clear intention, rather than by memory , although this might be necessary in the beginning . In this foundation education we will look at a range of fundamental classical and contemporary Pilates exercises so you can gain a clear understanding of what Joseph Pilates wanted to achieve with his method. The application however, is contemporary and holistic. Pilates is a training with many variations and at times this can be a bit confusing, therefore I want to give you as much information as possible regarding the aims, benefits and intricate technical details of the exercises. After you had time to process and embody the content, you will be able to implement the repertoire with clarity and confidence, and have a solid base to build upon. The gained knowledge will not only help you to structure functional and enjoyable Pilates lessons that can be taught to a wide audience, but it will positively influence the effectiveness of other forms of training. Although Pilates is a very suitable group training, a group format cannot replace a personalized one- on-one lesson, especially for people with specific needs. We recommend that a person who needs special care to consult a rehabilitation trained Pilates specialist or allied health professional. The Pilates Essentials education al lows you to structure and teach saf e and effective classes for relatively fit and able people, who have no specific conditions that prevent them from taking part in group exercise. Maybe this course is a completely new physical exp erience for you… Take you r time to practice and embody what you have learned. The next 5 days are merely the beginning of this enriching movement journey! Contemporary Pilates is an art and craft, and metaphorically speaking Pilates Essentials will give you the tools to master the craft. Still keep in mind that only practice leads to mastery . Once you have concluded the course and passed the related assessment you will be issued a certificate, which qualifies you to teach Pilates lessons in a group and one- to-one format.",485
5,"give you the tools to master the craft. Still keep in mind that only practice leads to mastery . Once you have concluded the course and passed the related assessment you will be issued a certificate, which qualifies you to teach Pilates lessons in a group and one- to-one format. We recomme nd to practice as much as possible to gain the benefits the Pilates Method is famous for, as well as to continuously improve and deepen your understanding of this amazing training system with its many facets . Embodiment is also the key to being a skilful, authentic teacher. Every now and then treat yourself with a class or personalized session as it will help you to gain new insights into teaching, as well as your own body and movement patterns. Never stop learning, continuous education i n Pilates or relate d fields will not only broaden your spectrum , but deepen your knowledge and appreciation for what you are practicing. This is the first step and I am very happy to have the privilege to introduce the Contemporary Pilates Method to you. I hope you will be as inspired as we are. On behalf of all of us at art of motion a warm welcome; we are looking forward to 5 inspiring and educational days with you! Karin Gurtner Founder & Principal Educator art of motion training in movement ® PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 7 / 215 EDUCATION AIMS  Understanding and integration of the 9 Key Elements and Mechanical Principles.  Understanding and application of fundamental biomechanical principles.  Understanding of build up, sequencing, aims and benefits of core stabilization training.  Competency in functional Pilates Essentials lesson planning.  Understanding of aims, benefits, execution and variation possibilities of the Pilates Essentials repertoire.  Competency in teaching methodology and didactics.  Competency in customized teaching.  Competency in the practical execution of the Pilates Essentials repertoire. DAILY SCHEDULE The dail y schedules are flexible guidelines that can be modified by the lecturer if need be. First Day 09.00am Introduction 09.30am Pilates Essentials Lesson 10.30am Break 10.45am Joseph Pilates and the Pilates Method 11.00am Pilates Anatomy 12.30am Lunch break 01.15pm The 9 Key Elements 03.00pm Break 05.15pm Repertoire 05.00pm Finish Second Day 09.00am Revision 09.30am Pilates Essentials Lesson 10.30am Break 10.45am Pilates Anatomy The Pelvis and the Pelvic Floor Shoulder Organization 12.30pm Lunch break 01.15pm Repertoire 03.30pm Break 03.45pm Repertoire 05.00pm Finish Third Day 09.00am Revision 09.30am Pilates Essentials Lesson 10.30am Break 10.45am Repertoire 12.45pm Lunch Break 01.30pm Repertoire 03.30pm Break 03.45pm Repertoire 05.00pm Finish Fourth Day 09.00am – 05.00pm Repertoire Fifth Day 09.00am Revision 09.30am Pilates Flow Warm -Up 10.00am Teaching Methodology and Didactics 10.45am Break 11.00am Teaching Methodology and Didactics 12.45pm Lunch break 01.30pm Lesson Planning 04.30pm Conclusion 05.00pm Finish Page 8 / 215 ®Copyright Material Contemporary Pilates APPLIED TERMINOLOGY In this and all other courses we will repeatedly use Pilates and movement related terminology.",492
6,"Flow Warm -Up 10.00am Teaching Methodology and Didactics 10.45am Break 11.00am Teaching Methodology and Didactics 12.45pm Lunch break 01.30pm Lesson Planning 04.30pm Conclusion 05.00pm Finish Page 8 / 215 ®Copyright Material Contemporary Pilates APPLIED TERMINOLOGY In this and all other courses we will repeatedly use Pilates and movement related terminology. Following is a list of the most commonly used terms and definitions. TERMS REFERRING TO LOCATION AND DIRECTION Bilateral: Referring to both sides. Unilateral: Referring to one side. Contralateral: A reflex response that affects the opposite side of the body from the stimulus. Ipsilateral: A reflex response that affects the same side as the stimulus. CUEING TERMINOLOGY LEG LIFT TECHNICAL INSTRUCTIONS Technical instructions refer to movement mechanics, proprioception, positioning of the body in space and anatomy. Example: LEG LIFT  The knees are directly underneath the hip joints and the hands directly underneath the shoulder joints.  The spine and the pelvis are in a neutral position with the pubic bone and the hip bones on one plane.  Your hamstrings and gluteal muscles lift the extended leg .  The movement occurs at the hip joint. TACTI LE INSTRUCTIONS Tactile instructions refer to touch. Either the instructor with the participant or with oneself . Example: LEG LIFT  The instructor places her/his middle fingers lightly onto the anterior superior iliac spine (bony spine in front of the hip bone) and the thumbs close to the posterior superior iliac spine (bony spine on the back of the hip bone) to support the lumber -pelvic stability during the leg movement. KINESTHETIC INSTRUCTIONS Kinaesthetic instructions refer to body and movement awareness, and h ow a movement feels. Example: LEG LIFT  Let the weight slightly shift from hands to knees and from right to left. Even it out and feel how little effort i s required to maintain the 4 -point kneeling position ; stay conscious of the even weight distribu tion during the exercise.  Reach back and lengthen the leg as you lift it .  Press the top of the supporting foot into the floor as you lift the gesture leg and feel the stability it gives you. PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 9 / 215 IMAGERY INSTRUCTIONS Instructions describing a body part or movement through imagery. Imagery can be used in various ways:  Direct – Direct reference to a body part.  Indirect – The body part is metaphorically described.  Inside / Outside– Imagery can be ap plied to the inside or outside of the body. Example: LEG LIFT  Direct : The thigh bone is spiralling inwards as the leg lifts.  Indirect : Imagine your leg is like a boom gate that is lifted from the sit bone.  Inside : Imagine your supporting hip socket is like a suction cap that su cks the thigh bone into the socket .  Outside: Imagine your leg is suspended from the ceiling with a strap.",492
7,"your leg is like a boom gate that is lifted from the sit bone.  Inside : Imagine your supporting hip socket is like a suction cap that su cks the thigh bone into the socket .  Outside: Imagine your leg is suspended from the ceiling with a strap. The strap is lifting your leg as you exhale and is lowering it as you inhale. TERMINOLOGY RELATING TO EXERCISE VARIATIONS Regressions, progressions and variations are useful terms that will be used frequently during the course. However, it is important to note that these terms are relative and depend on the characteristics of a person as well as the viewpoint you are adopting. A regression for one person might be a progression for someone els e, or what is considered a progression in relation to base of support might be just a variation in regards to myofascial slings. REGRESSION An exercise is made easier . A regressions often requires:  Shortening a lever.  Decreasing the range of motion and or reducing resistance .  Increasing the base of support. Example : DEAD BUG  Executing the exercise in a sudo -closed chain with one fo ot on the floor, while the gesture leg moves from Table Top. PROGRESSION An exercise is made more challenging.  Increasing the le ver length.  Increasing the range of motion and/or resistance.  Instable base of support. Example: DEAD BUG  Execute the exercise lying on a Roller. MODIFICATION An exercise is adapted to suit individual or specific needs. Example : DEAD BUG  If the lower thoracic spine is extended a support can be placed underneath the head. Page 10 / 215 ®Copyright Material Contemporary Pilates VARIATION The exercise mechanics stay essentially the same, however the exercise aim or focus are varied.  Reversing the breath, varying breathing length and/or focus.  Focusing on a di fferent exercise benefit.  Altering the involved musculature.  Varying the alignment of the extremities. Example : DEAD BUG  Varying breathing rhythm and functioning of the hip flexors: long exhalation and extension, slow inhalation and flexion of the leg. EXTEROCEPTION & PROPRIOCEPTION EXTEROCEPTION Exteroception describes how we perceive the outside world. Exteroceptors in the skin give us information about our environment through touch, pressure and temperature, as well as we perceive through more complex se nsory systems such as sight, hearing and smell .  Tactile sensibility is part of exteroception; the perception through touch .  Tactile awareness is one’s sensibility to the surface. PROPRIOCEPTION Latin: proprios = own + recipere = receive. Proprioception is also known as deep sensibility or depth perception . It describes the component of awareness that is provided by the body. Kinaesthesia Greek: kinein = to move oneself + aísthesis = awareness Kinaesthesia is the sense of body motion.",470
8,"PROPRIOCEPTION Latin: proprios = own + recipere = receive. Proprioception is also known as deep sensibility or depth perception . It describes the component of awareness that is provided by the body. Kinaesthesia Greek: kinein = to move oneself + aísthesis = awareness Kinaesthesia is the sense of body motion. Proprio ception Contains the Following Components  Sense of position : P rovides information relating to the position of the body in space or the position of joints and of the head .  Sense of strength : Provides information of the d egree of tension in muscles and tendons.  Sense of motion/ kinaesthesia : Allows for movement awareness and recognition of direction. Proprioceptors are the body’s own receptors in the skin, joints, muscles and fascia, which monitor the position and movement of muscles and joints. They send feedback to the brain informing us about length and tension in muscles and other soft tissues, as well as the position of joints in space. Integration Possibilities How can we integrate this information usefully in training programs and teaching methodology? Step 1: Improve the sense of position. Use only a few, easy to understand instructions. Technical and tactile cues can be very helpful in improving one’s sense of position. Step 2: Improving the sense of strength and sense of motion . Tactile cues, imagery and obviously kinaesthetic instructions can be very useful t o improve one’s sense of effort and movement awareness. PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 11 / 215 Instructions Referring to the Sense of P osition: LEG FLOAT  The knee remains at a 90° angle.  The movement occurs in the hip joint.  The pelvis remains in a neutral position during the movement.  The toes are aligned with the knee in the Table Top p osition. Instructions Referring to Strength P erception: LEG FLOAT  How would you rate the required abdominal strength on a scale from 0 to 10?  The pelvis is heavy, the legs feel light.  Does the right leg feel as light as the left leg?  Imagine you have helium balloons attached to your knees; they guide and support the movement. LOCATION DESCRIPTIONS The terms distal and proximal are not just relating to biomechanics, but are relevant in relation to teaching. DISTAL  Further away from the torso or a major joint. Beginners often relate to distal instructions easier. Distal instructions however bring the attention away from the centre, the stabilizing joint and/or the prime muscles. Example: SINGLE LEG CIRCLE  Imagine you have paint on your big toe and you draw a capital D onto the ceiling. o The attention is directed to the foot. PROXIMAL  Closer to the torso or a major joint. Often proximal instructions require relatively well-developed body awareness, exercise k nowledge and some basic understanding of anatomy. Proximal instructions bring the attention towards the centre, the stabilizing joint and/or the muscles directly involved in the movement.",494
9,"directed to the foot. PROXIMAL  Closer to the torso or a major joint. Often proximal instructions require relatively well-developed body awareness, exercise k nowledge and some basic understanding of anatomy. Proximal instructions bring the attention towards the centre, the stabilizing joint and/or the muscles directly involved in the movement. Example: SINGLE LEG CIRCLE  Let the thigh bone sink back into the hip socket and feel the heavy and slow rolling motion of the bone in the joint capsule. o The attention is on the pelvis and the hip joint and therefore the muscles involved in stabilization and movement. Page 12 / 215 ®Copyright Material Contemporary Pilates CLOSED, SUDO -CLOSED & OPEN CHAIN The following definitions are directly relating to the Pilates matwork repertoire. CLOSED CHAIN Movement against an immovable resistance/object; the distal end of the lever is in contact with t he immovable or fixed object. Example: LEG SLIDE The feet (distal end of the lever) remain in contact with the floor (fixed object). SUDO -CLOSED CHAIN Definition 1 : The distal end of one lever is free in space, while the other side is in contact with a fixed object. Example: BASIC LEG FLOAT One foot remains in contact with the floor (fixed object), while the other leg is moving through space without support. Definition 2 : The distal end of the levers are in contact with a moveable object. Example: DOUBLE LEG SLIDE on Roller The feet (distal ends of levers) are pla ced onto the Roller (moveable object). OPEN CHAIN The distal end of the levers are free in space. Example: DEAD BUG The feet (distal ends of levers) are moving free in space. PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 13 / 215 THE PILATES METHOD JOSEPH HUBERTUS PILATES Joseph Hubert Pilates was a weak, ailing child. This condition made him want to radically improve his health and constitution. This decision was the beginning of a life long passion for fitness, bodybuilding and yoga. At the age of 32, Pilates decided to move to England where he earn ed his living as a boxer, circus performer and as a teacher of self -defence techniques. At the outbreak of World War I he was detained by the British authorities and not released until the end of the war. Pilates continued to improve his own fitness enthus iastically and developed a new concept. The new aspect of this concept was the connection of body and mind. From this time on, all of Pilates’ techniques have been based on a combination of physical and mental attributes. With the simple devices, which wer e at his disposal, he began to train and rehabilitate his fellow detained countrymen and created the first prototype of a Reformer. The other Book of Joseph Hubertus Pilates YOUR HEALTH In 19 23, Pilates migrated to New York. Joseph and his wife Clara, a nurse, opened their first studio.",485
10,"e at his disposal, he began to train and rehabilitate his fellow detained countrymen and created the first prototype of a Reformer. The other Book of Joseph Hubertus Pilates YOUR HEALTH In 19 23, Pilates migrated to New York. Joseph and his wife Clara, a nurse, opened their first studio. From his ability to rehabilitate dancers with back and leg injuries and help them get back on stage, Pilates established a good reputation, which attracted sta r dancers such as Martha Graham and George Ballanchine. Other famous clients from the world of dance who benefited from his services were Jerome Robbins, Ted Shaw, Ruth St. Denis and Suzanne Farrell. At the time of his death, Pilates had many supporters fr om the world of dance and entertainment. In order to improve core stability and body control, Pilates developed a series of floor exercises called ‘Co ntrology ’ which are now known as the Pilates Method. Page 14 / 215 ®Copyright Material Contemporary Pilates Joseph and Clara were an interesting couple. Ron Fletcher, Pilates Master Teacher and Pilates’ trainee, made the following statement: “ Joe was moody and gruff but brilliant, but it was Clara who taught me to understand the work, to teach from the point of view of mind -breath -body-spirit.“ Joseph Pilates was rather possessive and only educated approximately half a dozen trainers in his method. Most of the teachers who were trained around 1940 have passed away; amongst them was Eve Gentry (1910 – 1994), Ron Fletcher ( 1921 – 2011, Santa Fe, New Mexico), Kathleen Stanford -Grant ( 1921 – 2010, NYU Tisch School of Arts), and Romana Kyzanowska ( 1923 -2013, the original Pilates Studio in New York City). In his studio, Joseph was the only master instructor, unwilling to involve anyone else or reveal more information than necessary. There is a story where a former client of Pilates decided to teach Joe’s method and open his own studio in the same neighbourhood. Inflamed with rage and with a gun in his hand, Joseph is said to have gone to the new studio and made his competitor leave the city. The studio was closed. In 1967, Pilates died at the age of 87 at an accident in his studio. The building was burning and when Joseph tried to save some of his equipment, the floor co llapsed and he was forced to stay in the burning studio for quite a long time, hanging from the ceiling. The fire brigade saved him, however, Joseph died two days later from smoke poisoning in hospital. Clara Pilates and Hannah Sakmurda (who had been an as sistant to Joseph Pilates for many years) continued to run the studio after Joseph’s death. In 1972, Romana Kryzanowska took over lead ership . PILATES ESSENTIALS www.art -of-motion.com ®Copyright Material Page 15 / 215 YESTERDAY & TODAY The Pilates Method has changed with time; however, the principles are still the same.",488
